Name,URL,Description,Image,,
Tamil Amuthu Bakthi Radio,https://stream.zeno.fm/bpc3ucypmm0uv,"
Tamil Amuthu Bakthi Radio is a Tamil devotioal radio station.Tamil Amuthu Bakthi Radio plays non stop Tamil hindi devotional songs.Listen to Tamil Amuthu Bakthi Radio station online.""",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/tamilamuthubhakthi.jpg,,
Thalapathy Radio,https://stream.zenolive.com/nw7cb2p7pa0uv,"
Thalapathy Radio plays Non-stop Thalapathy songs from Naalaiya Theerpu to Master.Thalapathy Radio",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/thalapathy.jpg,,
CMR Tamil HD Radio,https://live.cmr24.net/CMR/TamilHD-HQ/icecast.audio,"
CMR Tamil HD is an online radio station from Ontario (Canada).CMR represents the growing ethnic voice.CMR Tamil HD radio has news ",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/tamilhdradio.jpg,,
AR Rahman,https://stream.zeno.fm/3z615n343d0uv,"
AR Rahman Tamil super hit radio station online.A.R Rahman radio plays super hit of oscar winner AR Rahman non stop Tamil super hit songs.AR Rahman FM radio plays super Hits composed by AR Rahman.""",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/AR-Rahman.jpg,,
Oli FM,https://playerservices.streamtheworld.com/api/livestream-redirect/OLI968FMAAC.aac,"
Oli FM 96.8 Tamil is the only Indian station in Singapore featuring news",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/olifm.jpg,,
Japan Tamil Radio,https://sg.radiocastvps.com/radio/8010/radio.mp3,"
Japan Tamil Radio",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/japan-tamil-radio.jpg,,
Athavan Radio,https://c34.radioboss.fm:18517/stream,"
Athavan Radio is a Tamil radio broadcasting from Sri Lanka. Tune to Athavan Radio to listen to your favorite Tamil songs and top Kollywood songs. Athavan Radio contains a huge variety of programs telecasting wonderful Tamil songs. Tune to Athavan Radio to listen super hit songs. Athavan Radio is the Best Infotainment Tamil Digital Radio Station in the United Kingdom",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/athavanradio.jpg,,
Adirai FM 90.4,https://listen.radioking.com/radio/188161/stream/230320,"
Adirai Fm 90.4 is a Tamil community Radio station broadcasting from Adirampattinam",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/adiraifm.jpg,,
Mellisai FM,https://stream.zeno.fm/e9hsbbbey4zuv,"
Mellisai FM is a Tamil online radio station broadcasting from Dharmapuri.Mellisai FM plays tamil super hit film songs.Listen to Mellisai fm Tamil radio station online.",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/mellisaifm.jpg,,
Vaikundar Radio,https://securestreams7.autopo.st/?uri=http://comet.shoutca.st:8185/stream,"
Vaikundar radio is part of 24×7 Aiyya Vaikundar Songs Broadcating Service In Tamilnadu Tirunelveli. Vaikundar radio plays 24 hour Vaikundar devotional songs. Vaikundar radio is played all over the world from Vaikundar Radio.Listen to Vaikundar radio online ",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/vaikundar.jpg,,
The Tamil Radio,https://castcloud.pvtwebs.com/proxy/qtamilra?mp=/live,"
The Tamil Radio is a Tamil radio station from UAE.Listen to Non stop Tamil songs and Tamil music only on The Tamil Radio UAE.It is the No.1 Radio in Gulf! Ippo Iddhan trend!!.The Tamil Radio App is an interesting mobile app based on Audio streaming technology. Intended audiences are 6 gulf countries and other countries also. Music lovers can listen to music and songs using this App. In addition to streamed music",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/thetamilradio.jpg,,
Radio Kumari HD 3D,https://securestreams7.autopo.st/?uri=http://comet.shoutca.st:8066/stream,"
Radio Kumari HD 3D Digital is a Tamil Internet radio station broadcasting from Kanyakumari",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/radiokumari.jpg,,
Time FM,https://neramfm.com:8000/stream,"
 Time FM is a Tamil Radio currently broadcasting in Montreal and Toronto. Time FM is the ONLY Tamil Radio broadcasting in Montreal.listen to our broadcast live on Montreal’s 102.9 FM & SCMO 89.3 FM and on Toronto’s SCMO 100.7 FM. Time FM mission is to spread the love we have for our culture and put together the building blocks for the next generation. We have multitudes of dynamic shows on our radio to keep our community up-to-date on worldwide incidents while giving full enjoyment to our increasingly expanding audience.Listen to Time FM Tamil radio station live streaming online . Time FM Tamil online radio plays Tamil internet news and Sri Lanka News.""",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/timefm.jpg,,
US Tamil FM,https://streaming.radio.co/s0cfc93915/listen,"
US Tamil FM is a 24/7 Tamil Radio Station solely created for the Tamilians across the United States.",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/ustamil.jpg,,
Vaagai Vaanoli,https://vaagai.radioca.st/stream2/listen#.mp3,"
 Vaagai Vaanoli is Tamil Internet Radio Staation broadcasting from South Australia. Vaagai Vaanoli is being fully run by volunteers.",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/vaagaivaanoli.jpg,,
Canadian Tamil Radio CTR,https://www.liveradio.es/http://198.27.66.225:8498/stream,"
Canadian Tamil Radio (“CTR”) is Canada’s leading 24-hour Tamil Radio broadcasting from Toronto",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/ctrradio.jpg,,
Radio Petti 5.1,https://stream.zeno.fm/2fu5y69usa0uv,"
Radio Petti 5.1 is a Online tamil fm channel providing Cinema Update",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/radiopetti.png,,
Eagle FM HD,https://streaming.radio.co/sf833cd785/listen,"
Eagle FM is a Tamil HD radio broadcasting from Tamilnadu.Eagle FM HD is a 24 hours tamil radio station playing Tamil super hit songs and plays Tamil Film Music.Listen to Eagle FM HD Tamil radio online.""",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/eaglefm.jpg,,
ETR FM,https://bud.streampanel.net:6257/stream,"
ETR (European Tamil Radio) is the first 24 hours Tamil Radio From Germany.European Tamil Radio is a Tamil internet Radio playing Tamil Music",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/ETRFM.jpg,,
